
537.2,2.3,117.5,8.3,0.06
372,1.3,74.7,8,0.02
97.3,14,23.1,2,0.06
162.4,15.9,30.5,1.7,0.02
137.7,17.7,26.4,1.6,0.02
132.4,14.3,28.5,1.7,0.06
189,14.4,37.6,1.8,0.04
137.7,15.9,30.2,2.2,0.09
116.4,11,30.6,2.1,0.08
104.5,10.6,29.9,2.5,0.04
152.6,9.7,23.9,2.7,0.05
395.5,2.2,124.8,11.3,0.06
543.5,2.4,264.8,11.4,0.06
565.1,2.5,143.4,8.1,0.04
91.7,12.7,15.7,2.4,0.04
145.3,15,19.2,3.2,0.05
188.9,19.2,16.8,4.7,0.12
241.4,17.6,14,6,0.03
206.5,13.2,17.3,5.7,0.24
52.2,7.6,11.1,1.1,0.04
8.3,14.5,6.4,2.3,0.07
40.2,24.1,8.1,3.2,0.11
32.7,17.2,6.8,2.6,0.02
123.2,14.4,37.3,2.2,0.09
136.2,15.1,39.1,2.5,0.09
154.1,16.4,37.3,2.3,0.1
111.5,13.9,31.8,2.4,0.07
118.7,17.9,34.2,2.7,0.04
134.2,17.6,32.1,2.9,0.02
127,7.2,31.2,2.7,0.03
135.4,10,35.2,2.4,0.03
106.8,6.7,33.9,1.7,0.02
311.2,14.2,47,2.4,0.04
254.7,10.9,90.1,2.7,0.07
232,7.1,4.6,1.08,0.19
236,9,14.3,1.12,0.1
132,8.6,14.1,2.91,0.06
333,9.4,11,1.65,0.16
212,6.7,9,1.84,0.17
284,5.9,17,1.26,0.2
313,5.8,19.2,1.6,0.2
295,9.1,14.8,1.35,0.07
299,5.2,23.5,1.53,0.08
243,8.5,18.3,1.48,0.09
258,5.7,26,1.65,0.08
220,7.4,42.2,2.07,0.06
211,4.8,65.1,2.71,0.07
324,7.3,44.8,2.5,0.1
205,10.1,16.5,1.45,0.07
107,18.2,4.5,1.46,0.11
127,15.9,12.8,1.01,0.16
235,16.7,18.7,1.21,0.07
132,19.4,26.8,0.95,0.06
197,20.5,9.2,1.1,0.08
310,34.1,14.9,0.72,0.07
141,23.2,9.8,0.85,0.06
117,27.7,15.5,1.01,0.07
109,29.2,19,1,0.07
149,20.8,12.2,1.19,0.09
35,0.41,0.88,0.87,0.06
32,0.44,6.01,0.9,0.08
35,0.22,4.77,1.13,0.06
40,0.22,5.94,1.09,0.07
75,0.46,10.8,1.17,0.08
79,0.44,11.8,1.24,0.07
43,0.42,11.9,1.18,0.07
90,0.41,9.53,1.16,0.07
82,0.51,6.69,1.11,0.06
52,0.14,5.51,1.13,0.07
35,0.1,1.49,1.05,0.08
5.6,0.31,0.36,0.94,0.06
38,0.23,4.85,0.81,0.05
46,0.39,4.75,0.92,0.05
111,0.46,3.18,0.96,0.07
70,0.56,6.57,1.28,0.06
119,0.22,3.89,1.02,0.05
108,0.37,3.37,1.26,0.05
78,0.84,3.41,1.13,0.05
24,0.3,2.01,0.96,0.08
36,0.34,3.59,0.84,0.05
44,0.44,4.2,0.79,0.05
42,0.24,4.5,0.87,0.06
37,0.46,1.46,0.88,0.05
49,0.48,0.52,0.76,0.06
24,0.3,0.19,0.71,0.05
26,0.42,0.23,0.7,0.04
25,0.28,0.53,0.78,0.04
28,0.31,5.74,0.83,0.05
37,0.18,5.6,0.82,0.05
38,0.18,5.75,0.81,0.05
42,0.28,7.58,0.84,0.04
85,0.52,8.84,0.86,0.05
69,0.47,9.22,0.92,0.06
68,0.5,8.98,0.96,0.06
68,0.51,6.92,0.94,0.05
21,0.45,3.33,0.96,0.05
60,0.53,1.61,1.03,0.05
57,4.53,7.78,1.2,0.13
102,0.33,12.4,0.88,0.05
105,16,6.94,1.45,0.07
108,12.8,5.53,1.73,0.08
105,0.34,0.41,1.03,0.29
98,0.35,1.27,1.01,0.1
115,16.6,7.82,1.77,0.08
91,12.2,8.98,1.47,0.09
21,0.39,1.94,0.86,0.06
89,0.34,5.56,1.08,0.09
43,2.65,0.5,1.06,0.14
11,0.3,2.91,1.12,0.12
43,4.37,1.9,1.61,0.11
55,0.37,0.31,1.1,0.16
57,0.36,1.02,0.96,0.09
101,14.1,5.2,1.76,0.09
105,15.2,4.3,1.54,0.1
110,12.3,4.51,1.54,0.09
86,14,4.53,1.48,0.08
26,0.17,1.12,0.9,0.09
45,0.23,5.66,0.97,0.09
14,0.2,0.27,0.96,0.09
11,0.24,0.25,1.02,0.1
10,0.21,1.31,1.13,0.09
51,16.6,2.03,1.82,0.11
53,11.8,1.64,1.59,0.08
